time,temperature_2m (°C),relative_humidity,cloudcover,windspeed_10m,pressure_msl,shortwave_radiation (W/m²),direct_radiation,diffuse_radiaton,Cell_Temp (°C),Solar_Power (kW),
2025-12-20T17:00,24.4,60,14,4.2,1010,160,126,54,29.4,0.157184,
2025-12-20T18:00,22.8,64,12,3.7,1011,13,6,9,23.20625,0.013093275,
2025-12-20T19:00,22.1,68,5,1.2,1011.8,0,0,0,22.1,0,
2025-12-20T20:00,21.7,72,5,3.1,1012.5,0,0,0,21.7,0,
2025-12-20T21:00,21.1,74,4,4.2,1012.7,0,0,0,21.1,0,
2025-12-20T22:00,20.7,78,5,4,1012.6,0,0,0,20.7,0,
2025-12-20T23:00,20,80,5,3.9,1012.5,0,0,0,20,0,
2025-12-21T00:00,19.6,80,1,3.8,1012.4,0,0,0,19.6,0,
2025-12-21T01:00,19.4,79,1,3.2,1011.9,0,0,0,19.4,0,
2025-12-21T02:00,18.9,78,7,2.6,1011.6,0,0,0,18.9,0,
2025-12-21T03:00,18.7,78,58,3.3,1011.3,0,0,0,18.7,0,
2025-12-21T04:00,18.3,80,0,4.2,1011.3,0,0,0,18.3,0,
2025-12-21T05:00,18,81,30,5.2,1011.6,0,0,0,18,0,
2025-12-21T06:00,17.8,81,0,4.7,1012.6,0,0,0,17.8,0,
2025-12-21T07:00,19.5,78,0,7.8,1013.5,59,41,26,21.34375,0.059862875,
2025-12-21T08:00,21.3,63,0,6.6,1014.1,282,211,69,30.1125,0.2762331,
2025-12-21T09:00,23.1,55,0,8.3,1014.3,521,418,89,39.38125,0.491029475,
2025-12-21T10:00,24.9,50,0,7.9,1013.8,699,595,101,46.74375,0.638204475,
2025-12-21T11:00,26.2,47,5,9.5,1013.5,857,720,107,52.98125,0.761080275,
2025-12-21T12:00,27.2,43,76,8.3,1012.4,916,771,110,55.825,0.8030572,
2025-12-21T13:00,27.8,41,31,7.7,1011.2,898,755,109,55.8625,0.7871419,
2025-12-21T14:00,28.1,39,7,8.3,1010.2,805,670,104,53.25625,0.714014875,
2025-12-21T15:00,28.1,39,0,9,1009.5,645,522,95,48.25625,0.584998875,
2025-12-21T16:00,27.6,40,25,9,1009.3,433,329,80,41.13125,0.405060675,
2025-12-21T17:00,25.8,58,99,4.4,1009.8,194,124,56,31.8625,0.1886747,
2025-12-21T18:00,23.8,63,98,4.5,1010.7,16,4,11,24.3,0.0160448,
2025-12-21T19:00,23.1,67,85,2.7,1011.4,0,0,0,23.1,0,
2025-12-21T20:00,22.5,68,73,4.2,1012.2,0,0,0,22.5,0,
2025-12-21T21:00,21.7,69,47,3.1,1012.6,0,0,0,21.7,0,
2025-12-21T22:00,20.8,70,76,1.3,1012.9,0,0,0,20.8,0,
2025-12-21T23:00,20.6,71,99,3.4,1012.6,0,0,0,20.6,0,
2025-12-22T00:00,20.4,74,98,4.8,1012.5,0,0,0,20.4,0,
2025-12-22T01:00,20.2,80,100,4.7,1012.5,0,0,0,20.2,0,
2025-12-22T02:00,19.8,84,100,4.3,1012.2,0,0,0,19.8,0,
2025-12-22T03:00,19.6,87,96,4.3,1011.8,0,0,0,19.6,0,
2025-12-22T04:00,19.4,89,85,4.2,1011.8,0,0,0,19.4,0,
2025-12-22T05:00,19.2,85,80,4.5,1012.3,0,0,0,19.2,0,
2025-12-22T06:00,19.1,86,82,3.6,1012.9,0,0,0,19.1,0,
2025-12-22T07:00,20.5,80,98,5.2,1014,50,30,28,22.0625,0.0505875,
2025-12-22T08:00,22.1,72,100,5.6,1014.6,249,132,104,29.88125,0.244138275,
2025-12-22T09:00,23.2,64,100,7.2,1014.5,457,246,179,37.48125,0.434184275,
2025-12-22T10:00,24.6,56,67,7.4,1014.2,698,422,185,46.4125,0.6382163,
2025-12-22T11:00,25.9,51,84,9.1,1013.5,831,670,121,51.86875,0.741688275,
2025-12-22T12:00,27,48,66,6.9,1012.6,887,510,235,54.71875,0.781557875,
2025-12-22T13:00,27.7,45,98,4.9,1011.3,874,541,204,55.0125,0.7690763,
2025-12-22T14:00,28,42,90,5.6,1010.1,761,478,190,51.78125,0.679477875,
2025-12-22T15:00,27.9,41,58,5.5,1009.3,593,459,128,46.43125,0.542165075,
2025-12-22T16:00,27.2,42,73,5.6,1009.3,317,311,90,37.10625,0.301649275,
2025-12-22T17:00,25.5,51,86,6.2,1009.9,170,116,60,30.8125,0.1660475,
2025-12-22T18:00,23.5,59,86,6.3,1010.5,17,7,9,24.03125,0.017065875,
2025-12-22T19:00,22.9,62,75,6.1,1011.6,0,0,0,22.9,0,
2025-12-22T20:00,22.5,63,78,5.7,1012.7,0,0,0,22.5,0,
2025-12-22T21:00,21.8,65,100,5.2,1012.9,0,0,0,21.8,0,
2025-12-22T22:00,21,68,99,5.3,1012.8,0,0,0,21,0,
2025-12-22T23:00,20.6,74,19,6,1012.7,0,0,0,20.6,0,
2025-12-23T00:00,20.4,77,99,5.2,1012.4,0,0,0,20.4,0,
2025-12-23T01:00,20.2,77,95,5.3,1011.9,0,0,0,20.2,0,
2025-12-23T02:00,19.9,80,99,5.9,1011.1,0,0,0,19.9,0,
2025-12-23T03:00,19.6,86,96,6.5,1010.8,0,0,0,19.6,0,
2025-12-23T04:00,19.3,89,11,6.4,1011,0,0,0,19.3,0,
2025-12-23T05:00,19.1,91,5,7.1,1011.2,0,0,0,19.1,0,
2025-12-23T06:00,18.9,89,0,5.5,1011.9,0,0,0,18.9,0,
2025-12-23T07:00,20.7,81,20,6.9,1013,53,39,25,22.35625,0.053560475,
2025-12-23T08:00,22.7,64,34,4.9,1013.6,248,208,68,30.45,0.2425936,
2025-12-23T09:00,24.6,55,17,6.8,1013.6,503,413,89,40.31875,0.472178675,
2025-12-23T10:00,26.4,47,19,5.6,1013.3,718,590,101,48.8375,0.6495387,
2025-12-23T11:00,27.6,43,99,7.2,1012.5,824,716,106,53.35,0.7305584,
2025-12-23T12:00,28.2,39,53,5.6,1011.3,846,761,120,54.6375,0.7457067,
2025-12-23T13:00,28.6,39,70,4.8,1010.2,833,763,107,54.63125,0.734268675,
2025-12-23T14:00,28.8,40,100,4.5,1009,725,666,109,51.45625,0.648276875,
2025-12-23T15:00,28.8,41,98,4.5,1008.3,570,511,106,46.6125,0.5207235,
2025-12-23T16:00,28.6,43,97,5.8,1008.2,423,326,85,41.81875,0.394542675,
2025-12-23T17:00,27,51,4,5.4,1008.6,193,117,61,33.03125,0.186799875,
2025-12-23T18:00,24.9,58,13,5.9,1009.3,17,7,10,25.43125,0.016970675,
2025-12-23T19:00,24.1,60,20,6,1010.5,0,0,0,24.1,0,
2025-12-23T20:00,23.6,64,18,5.2,1011.4,0,0,0,23.6,0,
2025-12-23T21:00,23.2,69,39,4.8,1012.3,0,0,0,23.2,0,
2025-12-23T22:00,22.6,75,30,2.8,1012.5,0,0,0,22.6,0,
2025-12-23T23:00,22.1,78,46,3.5,1012.4,0,0,0,22.1,0,
2025-12-24T00:00,21.5,78,21,2,1012.5,0,0,0,21.5,0,
2025-12-24T01:00,20.9,80,28,1.7,1012.2,0,0,0,20.9,0,
2025-12-24T02:00,20.4,82,13,1.8,1011.5,0,0,0,20.4,0,
2025-12-24T03:00,20,85,11,3,1011.2,0,0,0,20,0,
2025-12-24T04:00,19.8,89,9,3.2,1011.3,0,0,0,19.8,0,
2025-12-24T05:00,19.8,88,59,2.4,1011.8,0,0,0,19.8,0,
2025-12-24T06:00,19.8,92,84,3.5,1012.4,0,0,0,19.8,0,
2025-12-24T07:00,21.5,87,73,6.2,1013.2,61,35,26,23.40625,0.061388875,
2025-12-24T08:00,23.4,74,91,6.3,1013.7,286,189,75,32.3375,0.2776059,
2025-12-24T09:00,25,59,91,8.2,1013.6,515,404,91,41.09375,0.481846875,
2025-12-24T10:00,26.4,50,90,7.6,1013.2,705,576,106,48.43125,0.638923875,
2025-12-24T11:00,27.6,47,77,8.6,1012.4,837,705,110,53.75625,0.740724075,
2025-12-24T12:00,28.5,43,100,6.8,1011.2,899,762,113,56.59375,0.785388875,
2025-12-24T13:00,29.2,40,95,5.8,1009.8,886,738,120,56.8875,0.7729907,
2025-12-24T14:00,29.6,39,97,5.6,1008.8,799,649,123,54.56875,0.704498275,
2025-12-24T15:00,29.6,39,80,7.3,1008.1,644,514,102,49.725,0.5803084,
2025-12-24T16:00,29.1,40,80,9.4,1008,435,334,82,42.69375,0.404212875,
2025-12-24T17:00,27.4,47,52,11.8,1008.7,199,130,56,33.61875,0.192139475,
2025-12-24T18:00,25.1,54,34,9.8,1009.5,18,7,10,25.6625,0.0179523,
2025-12-24T19:00,24,58,59,7.6,1010.5,0,0,0,24,0,
2025-12-24T20:00,23.3,64,39,5.7,1011.7,0,0,0,23.3,0,
2025-12-24T21:00,23,70,53,2.5,1012.5,0,0,0,23,0,
2025-12-24T22:00,22.5,71,20,0.3,1012.6,0,0,0,22.5,0,
2025-12-24T23:00,21.9,74,48,1.8,1012.3,0,0,0,21.9,0,
2025-12-25T00:00,21.3,76,68,2.6,1012.3,0,0,0,21.3,0,
2025-12-25T01:00,20.8,77,76,4.6,1012,0,0,0,20.8,0,
2025-12-25T02:00,20.4,81,80,3.2,1011.8,0,0,0,20.4,0,
2025-12-25T03:00,20,83,87,2.7,1011.8,0,0,0,20,0,
2025-12-25T04:00,19.9,83,77,1.9,1011.9,0,0,0,19.9,0,
2025-12-25T05:00,19.8,91,51,3.6,1012.1,0,0,0,19.8,0,
